user_id,age,gender,country,profession,primary_platform,platforms_used_count,daily_usage_hours,sessions_per_day,avg_session_duration_min,preferred_device,peak_usage_time,followers_count,following_count,posts_per_week,likes_given_per_day,comments_per_day,shares_per_day,dms_sent_per_day,preferred_content_type,scroll_speed,ad_click_rate,purchased_via_social_media,monthly_spend_via_social_usd,primary_purpose,sleep_disruption,self_reported_mental_health_score,screen_time_concern,notification_frequency,privacy_setting,influencer_status,account_join_date,mood_while_scrolling,takes_social_media_breaks,age_group,account_tenure_days,mental_health_level,total_engagement
USR00001,30,Female,UK,Doctor,Facebook,1,1.6,2,48.0,Smartphone,Late Night (12am+),353,99,1,17,1,3,8,Photos,Medium,0.089,Yes,67.72,Entertainment,No impact,3.9,No,Do Not Disturb,Friends Only,No,2022-10-21,Neutral,No,25-34,1293,Low,21
USR00002,25,Male,USA,Entrepreneur,Instagram,2,2.4,5,28.8,Smartphone,Afternoon (12-4pm),276,514,2,28,3,4,16,Memes,Medium,0.065,Yes,1.62,News & Updates,Moderate impact,4.2,No,Selected,Public,No,2024-12-03,Neutral,Yes,25-34,519,Medium,35
USR00003,32,Male,UAE,Freelancer,TikTok,5,0.5,6,5.0,Smartphone,Night (9pm-12am),203,422,3,26,4,2,7,Videos,Slow,0.278,No,0.0,Learning,Mild impact,4.8,Yes,Always On,Friends Only,No,2023-03-29,Happy,Yes,25-34,1134,Medium,32
USR00004,39,Prefer not to say,Pakistan,Other,TikTok,4,3.0,7,25.7,Smartphone,Evening (6-9pm),29083,474,1,16,3,1,12,Entertainment,Fast,0.094,No,0.0,Entertainment,Mild impact,7.9,Somewhat,Always On,Public,Yes,2024-04-26,Happy,No,35-44,740,High,20
USR00005,25,Male,UK,Other,YouTube,3,3.9,7,33.4,Tablet,Evening (6-9pm),104,197,2,27,7,4,7,Photos,Fast,0.075,No,0.0,Entertainment,Mild impact,6.5,No,Do Not Disturb,Public,No,2023-09-08,Inspired,No,25-34,971,Medium,38
USR00006,25,Female,India,Other,Facebook,3,4.6,7,39.4,Smartphone,Afternoon (12-4pm),866,123,3,11,5,2,10,Videos,Fast,0.013,Sometimes,55.01,Business/Marketing,Mild impact,6.1,No,Selected,Friends Only,No,2023-07-18,Relaxed,Yes,25-34,1023,Medium,18
USR00007,39,Female,India,Teacher,Snapchat,1,0.7,6,7.0,Laptop,Night (9pm-12am),1932,212,3,17,5,2,4,Memes,Medium,0.435,No,0.0,Business/Marketing,Moderate impact,6.9,Yes,Always On,Friends Only,No,2022-05-05,Happy,Yes,35-44,1462,Medium,24
USR00008,33,Female,UAE,Freelancer,Instagram,2,1.5,5,18.0,Smartphone,Morning (6-10am),2067,446,4,20,7,2,10,Entertainment,Fast,0.205,No,0.0,Business/Marketing,Mild impact,9.7,No,Off,Public,No,2022-12-25,Bored,Yes,25-34,1228,High,29
USR00009,23,Female,Brazil,Marketer,Twitter/X,2,4.4,5,52.8,Tablet,Late Night (12am+),598,17,6,21,6,1,7,Memes,Medium,0.086,No,0.0,Learning,No impact,3.1,Yes,Selected,Friends Only,No,2024-05-24,Happy,Occasionally,18-24,712,Low,28
USR00010,31,Male,Brazil,Doctor,Instagram,1,2.3,8,17.2,Desktop,Afternoon (12-4pm),431,392,2,13,5,1,4,Educational,Medium,0.197,Sometimes,2.85,Learning,Moderate impact,5.6,Yes,Selected,Friends Only,No,2024-10-12,Stressed,No,25-34,571,Medium,19
